model,promptstyle,nperms,alph,prob_type,prob_ind,source_1,source_2,target_1,correct_answer,given_answer,correct,total,reason,Broad
human,human,np_symb,symb_1,pred,6,"['!', '+', ')', '<']","['$', '+', ')', '<']","['<', '@', '=', '*']","[')', '@', '=', '*']","['<', '=', '*']",FALSE,1,wrong,wrong
human,human,np_symb,symb_1,pred,3,"['$', '!', '+', ')']","['>', '!', '+', ')']","['>', '$', '!', '+']","['&', '$', '!', '+']","['$', '!', '+', ')']",FALSE,1,remove+add,incorrect rule
human,human,np_symb,symb_0,pred,0,"['$', ')', '*', '@']","['>', ')', '*', '@']","[')', '*', '@', '=']","['$', '*', '@', '=']","['$', ')', '*', '@']",FALSE,1,wrong,wrong
human,human,np_symb,symb_1,pred,4,"['+', ')', '<', '@']","['!', ')', '<', '@']","['!', '+', ')', '<']","['$', '+', ')', '<']","['$', '!', '+', ')']",FALSE,1,shifted,incorrect rule
human,human,np_symb,symb_1,pred,1,"['$', '!', '+', ')']","['>', '!', '+', ')']","['+', ')', '<', '@']","['!', ')', '<', '@']","['&', '$', '+', '<']",FALSE,1,completely wrong,completely wrong
human,human,np_1,alph_3,remove_redundant,3,"['j', 'k', 'k', 'l', 'm', 'n']","['j', 'k', 'l', 'm', 'n']","['n', 'o', 'o', 'p', 'q', 'r']","['n', 'o', 'p', 'q', 'r']","['n', 'o', 'o', 'p', 'q', 'r', 'p']",FALSE,1,wrong,wrong
human,human,np_1,alph_5,remove_redundant,0,"['g', 'g', 'h', 'i', 'j', 'k']","['g', 'h', 'i', 'j', 'k']","['k', 'l', 'm', 'n', 'n', 'o']","['k', 'l', 'm', 'n', 'o']","['l', 'm', 'n', 'n', 'o']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_1,remove_redundant,3,"['a', 'b', 'c', 'c', 'd', 'e']","['a', 'b', 'c', 'd', 'e']","['c', 'd', 'e', 'f', 'g', 'g']","['c', 'd', 'e', 'f', 'g']","['e', 'f', 'g', 'h', 'i']",FALSE,1,wrong,wrong
human,human,np_10,alph_0,remove_redundant,8,"['a', 'q', 'c', 'd', 'e', 'e']","['a', 'q', 'c', 'd', 'e']","['n', 'k', 'k', 'l', 'm', 'u']","['n', 'k', 'l', 'm', 'u']","['n', 'k', 'k', 'l', 'm']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_5,remove_redundant,2,"['w', 'm', 'p', 'p', 'n', 'h']","['w', 'm', 'p', 'n', 'h']","['e', 'a', 'c', 'd', 'b', 'b']","['e', 'a', 'c', 'd', 'b']","['r', 't', 'k', 'c', 'v']",FALSE,1,completely wrong,completely wrong
human,human,np_10,alph_2,remove_redundant,6,"['t', 't', 'u', 'x', 'a', 'w']","['t', 'u', 'x', 'a', 'w']","['k', 'l', 'm', 'm', 'n', 'o']","['k', 'l', 'm', 'n', 'o']","['p', 'q', 'y', 's']",FALSE,1,completely wrong,completely wrong
human,human,np_10,alph_6,remove_redundant,3,"['k', 'c', 'x', 'n', 'n', 'h']","['k', 'c', 'x', 'n', 'h']","['a', 'a', 'b', 's', 'd', 'e']","['a', 'b', 's', 'd', 'e']","['a', 'b', 's', 'd', 'd', 'e']",FALSE,1,typo,wrong
human,human,np_10,alph_1,remove_redundant,9,"['c', 'c', 'q', 'e', 'f', 'g']","['c', 'q', 'e', 'f', 'g']","['o', 'k', 'l', 't', 'n', 'n']","['o', 'k', 'l', 't', 'n']","['k', 'l', 't', 'n', 'n']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_1,remove_redundant,7,"['g', 'y', 'i', 'o', 'k', 'k']","['g', 'y', 'i', 'o', 'k']","['r', 's', 'u', 'u', 'd', 'v']","['r', 's', 'u', 'd', 'v']","['r', 's', 'u', 'u', 'd']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_5,remove_redundant,2,"['w', 'm', 'p', 'p', 'n', 'h']","['w', 'm', 'p', 'n', 'h']","['e', 'a', 'c', 'd', 'b', 'b']","['e', 'a', 'c', 'd', 'b']","['e', 'a', 'c', 'c', 'd', 'b', 'b']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_2,remove_redundant,6,"['t', 't', 'u', 'x', 'a', 'w']","['t', 'u', 'x', 'a', 'w']","['k', 'l', 'm', 'm', 'n', 'o']","['k', 'l', 'm', 'n', 'o']","['l', 'm', 'm', 'n', 'o']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_2,alph_6,remove_redundant,4,"['a', 'b', 'c', 'd', 'd', 'm']","['a', 'b', 'c', 'd', 'm']","['b', 'c', 'c', 'd', 'm', 'f']","['b', 'c', 'd', 'm', 'f']","['b', 'c', 'c', 'm', 'f']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_2,alph_5,remove_redundant,9,"['a', 'b', 'c', 'c', 'd', 'e']","['a', 'b', 'c', 'd', 'e']","['j', 'k', 'k', 'f', 'm', 'n']","['j', 'k', 'f', 'm', 'n']","['m', 'n', 'o', 'p', 'r']",FALSE,1,completely wrong,completely wrong
human,human,np_2,alph_0,remove_redundant,0,"['u', 'c', 'd', 'e', 'f', 'f']","['u', 'c', 'd', 'e', 'f']","['q', 'r', 's', 't', 't', 'b']","['q', 'r', 's', 't', 'b']","['q', 'r', 's', 't', 't']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_2,alph_0,remove_redundant,0,"['u', 'c', 'd', 'e', 'f', 'f']","['u', 'c', 'd', 'e', 'f']","['q', 'r', 's', 't', 't', 'b']","['q', 'r', 's', 't', 'b']","['e', 'g', 'h', 'k', 'l']",FALSE,1,completely wrong,completely wrong
human,human,np_2,alph_6,remove_redundant,3,"['f', 'f', 'g', 'h', 'i', 'j']","['f', 'g', 'h', 'i', 'j']","['m', 'f', 'f', 'g', 'h', 'i']","['m', 'f', 'g', 'h', 'i']","['m', 'f', 'g', 'h', 'i', 'j']",FALSE,1,typo,wrong
human,human,np_2,alph_6,remove_redundant,2,"['b', 'c', 'd', 'd', 'm', 'f']","['b', 'c', 'd', 'm', 'f']","['u', 'v', 'w', 'x', 'y', 'y']","['u', 'v', 'w', 'x', 'y']","['u', 'v', 'v', 'w', 'x', 'y', 'y']",FALSE,1,wrong,wrong
human,human,np_2,alph_2,remove_redundant,9,"['t', 'u', 'v', 's', 's', 'x']","['t', 'u', 'v', 's', 'x']","['k', 'k', 'l', 'm', 'n', 'o']","['k', 'l', 'm', 'n', 'o']","['k', 'k', 'l', 'm', 'n']",FALSE,1,wrong,wrong
human,human,np_20,alph_1,remove_redundant,0,"['a', 'a', 'b', 'g', 'z', 'y']","['a', 'b', 'g', 'z', 'y']","['e', 'o', 'o', 'f', 'l', 'u']","['e', 'o', 'f', 'l', 'u']","['o', 'o', 'f', 'l', 'u']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_20,alph_2,remove_redundant,5,"['w', 'i', 'q', 'e', 'e', 'd']","['w', 'i', 'q', 'e', 'd']","['m', 'm', 'p', 'g', 'h', 'w']","['m', 'p', 'g', 'h', 'w']","['m', 'm', 'p', 'h', 'w']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_20,alph_1,remove_redundant,9,"['m', 'h', 'i', 'r', 'r', 'k']","['m', 'h', 'i', 'r', 'k']","['v', 'v', 'p', 'n', 'x', 'q']","['v', 'p', 'n', 'x', 'q']","['v', 'p', 'n', 'x', 'z']",FALSE,1,typo,wrong
human,human,np_20,alph_1,remove_redundant,0,"['a', 'a', 'b', 'g', 'z', 'y']","['a', 'b', 'g', 'z', 'y']","['e', 'o', 'o', 'f', 'l', 'u']","['e', 'o', 'f', 'l', 'u']","['e', 'e', 'o', 'o', 'f', 'l', 'u']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_20,alph_1,remove_redundant,3,"['e', 'o', 'f', 'l', 'u', 'u']","['e', 'o', 'f', 'l', 'u']","['u', 'v', 'v', 'p', 'n', 'x']","['u', 'v', 'p', 'n', 'x']","['u', 'v', 'v', 'p', 'n']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_20,alph_1,remove_redundant,0,"['a', 'a', 'b', 'g', 'z', 'y']","['a', 'b', 'g', 'z', 'y']","['e', 'o', 'o', 'f', 'l', 'u']","['e', 'o', 'f', 'l', 'u']","['o', 'o', 'f', 'l', 'u']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_20,alph_1,remove_redundant,7,"['s', 'j', 'e', 'o', 'f', 'f']","['s', 'j', 'e', 'o', 'f']","['d', 't', 's', 'j', 'j', 'e']","['d', 't', 's', 'j', 'e']","['d', 't', 's', 'j', 'j']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_20,alph_4,remove_redundant,9,"['w', 'w', 'p', 'c', 'd', 'e']","['w', 'p', 'c', 'd', 'e']","['x', 'o', 'm', 'n', 'n', 't']","['x', 'o', 'm', 'n', 't']","['o', 'm', 'n', 'n', 't']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_5,alph_1,remove_redundant,8,"['p', 'q', 'q', 'x', 's', 't']","['p', 'q', 'x', 's', 't']","['k', 'r', 'm', 'n', 'l', 'l']","['k', 'r', 'm', 'n', 'l']","['k', 'm', 'n', 'l', 'l']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_5,alph_2,remove_redundant,4,"['q', 'q', 'b', 'c', 'd', 'e']","['q', 'b', 'c', 'd', 'e']","['c', 'd', 'd', 'e', 'f', 'g']","['c', 'd', 'e', 'f', 'g']","['d', 'd', 'e', 'f', 'g']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_5,alph_6,remove_redundant,7,"['o', 's', 's', 't', 'u', 'v']","['o', 's', 't', 'u', 'v']","['c', 'd', 'e', 'e', 'f', 'g']","['c', 'd', 'e', 'f', 'g']","['c', 's', 'e', 'f', 'g']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_5,alph_2,remove_redundant,9,"['m', 'r', 's', 's', 't', 'u']","['m', 'r', 's', 't', 'u']","['q', 'b', 'c', 'd', 'd', 'e']","['q', 'b', 'c', 'd', 'e']","['q', 'b', 'd', 'd', 'e']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_5,alph_0,remove_redundant,2,"['a', 'n', 'c', 'd', 'e', 'e']","['a', 'n', 'c', 'd', 'e']","['n', 'c', 'c', 'd', 'e', 'f']","['n', 'c', 'd', 'e', 'f']","['n', 'c', 'c', 'd', 'e']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_1,alph_2,sort,7,"['m', 'o', 'n', 'p', 'q']","['m', 'n', 'o', 'p', 'q']","['a', 'd', 'c', 'b', 'e']","['a', 'b', 'c', 'd', 'e']","['a', 'd', 'c', 'b', 'e', 'f']",FALSE,1,add/sort,incorrect rule
human,human,np_1,alph_6,sort,8,"['r', 's', 'u', 't', 'v']","['r', 's', 't', 'u', 'v']","['s', 'p', 'q', 'r', 'o']","['o', 'p', 'q', 'r', 's']","['s', 'p', 'r', 'q', 'o']",FALSE,1,literal application,alternate rule formation
human,human,np_1,alph_1,sort,5,"['p', 'n', 'o', 'm', 'q']","['m', 'n', 'o', 'p', 'q']","['q', 'u', 's', 't', 'r']","['q', 'r', 's', 't', 'u']","['t', 'u', 's', 'q', 'r']",FALSE,1,literal application,alternate rule formation
human,human,np_1,alph_0,sort,8,"['b', 'c', 'f', 'e', 'd']","['b', 'c', 'd', 'e', 'f']","['v', 't', 'u', 's', 'w']","['s', 't', 'u', 'v', 'w']","['v', 't', 'w', 's', 'u']",FALSE,1,literal application,alternate rule formation
human,human,np_1,alph_2,sort,1,"['m', 'k', 'l', 'j', 'n']","['j', 'k', 'l', 'm', 'n']","['u', 'v', 'w', 'y', 'x']","['u', 'v', 'w', 'x', 'y']","['?', '?', '?', '?', '?']",FALSE,1,misunderstanding,completely wrong
human,human,np_1,alph_0,sort,0,"['e', 'b', 'c', 'd', 'a']","['a', 'b', 'c', 'd', 'e']","['o', 'm', 'n', 'l', 'p']","['l', 'm', 'n', 'o', 'p']","['p', 'l', 'n', 'm', 'o']",FALSE,1,literal application,alternate rule formation
human,human,np_1,alph_4,sort,1,"['h', 'i', 'l', 'k', 'j']","['h', 'i', 'j', 'k', 'l']","['k', 'h', 'i', 'j', 'g']","['g', 'h', 'i', 'j', 'k']","['k', 'h', 'g', 'j', 'i']",FALSE,1,literal application,alternate rule formation
human,human,np_10,alph_6,sort,7,"['m', 'w', 'l', 'v', 'z']","['v', 'w', 'l', 'm', 'z']","['p', 'y', 't', 'q', 'r']","['p', 'q', 't', 'y', 'r']","['q', 'y', 't', 'p', 'r']",FALSE,1,literal application,alternate rule formation
human,human,np_10,alph_2,sort,1,"['b', 'e', 'h', 'v', 'f']","['b', 'v', 'h', 'e', 'f']","['d', 'g', 'f', 'r', 'j']","['f', 'g', 'd', 'r', 'j']","['d', 'r', 'j', 'k', 'l']",FALSE,1,wrong,wrong
human,human,np_10,alph_3,sort,9,"['l', 'o', 'q', 'r', 's']","['o', 'l', 'q', 'r', 's']","['m', 'c', 'z', 'p', 'f']","['m', 'c', 'p', 'z', 'f']","['c', 'm', 'z', 'p', 'f']",FALSE,1,literal application,alternate rule formation
human,human,np_10,alph_0,sort,8,"['u', 'r', 'p', 'y', 'f']","['u', 'f', 'p', 'y', 'r']","['t', 'w', 'v', 'x', 'b']","['t', 'w', 'v', 'b', 'x']","['t', 'b', 'v', 'x', 'w']",FALSE,1,literal application,alternate rule formation
human,human,np_10,alph_0,sort,5,"['i', 'l', 'k', 'n', 'm']","['i', 'n', 'k', 'l', 'm']","['b', 'w', 'v', 't', 'x']","['t', 'w', 'v', 'b', 'x']","['b', 't', 'v', 'w', 'x']",FALSE,1,literal application,alternate rule formation
human,human,np_2,alph_4,sort,8,"['e', 'c', 'h', 'g', 'i']","['e', 'c', 'g', 'h', 'i']","['k', 'j', 'l', 'm', 'n']","['j', 'k', 'l', 'm', 'n']","['k', 'j', 'l', 'm', 'n']",FALSE,1,literal application,alternate rule formation
human,human,np_2,alph_4,sort,0,"['e', 'g', 'c', 'h', 'i']","['e', 'c', 'g', 'h', 'i']","['f', 'c', 'e', 'd', 'g']","['f', 'd', 'e', 'c', 'g']","['f', 'e', 'c', 'd', 'g']",FALSE,1,literal application,alternate rule formation
human,human,np_2,alph_0,sort,5,"['a', 'd', 'c', 'u', 'e']","['a', 'u', 'c', 'd', 'e']","['w', 'b', 'v', 't', 'x']","['t', 'b', 'v', 'w', 'x']","['w', 'x', 't', 'v', 'b']",FALSE,1,wrong,wrong
human,human,np_2,alph_2,sort,9,"['q', 'r', 'w', 'u', 't']","['q', 'r', 'w', 't', 'u']","['h', 'g', 'f', 'i', 'j']","['f', 'g', 'h', 'i', 'j']","['h', 'g', 'f', 'j', 'i']",FALSE,1,literal application,alternate rule formation
human,human,np_2,alph_2,sort,2,"['o', 'q', 'p', 'r', 'w']","['o', 'p', 'q', 'r', 'w']","['k', 'j', 'l', 'm', 'n']","['j', 'k', 'l', 'm', 'n']","['k', 'j', 'l', 'm', 'n']",FALSE,1,repeat targ_1,alternate rule formation
human,human,np_20,alph_0,sort,0,"['q', 'o', 'y', 'n', 'l']","['n', 'o', 'y', 'q', 'l']","['v', 'c', 'i', 'x', 'm']","['m', 'c', 'i', 'x', 'v']","['x', 'c', 'i', 'v', 'm']",FALSE,1,literal application,alternate rule formation
human,human,np_20,alph_1,sort,0,"['e', 'f', 'o', 'l', 'u']","['e', 'o', 'f', 'l', 'u']","['h', 'y', 'w', 'm', 'z']","['z', 'y', 'w', 'm', 'h']","['h', 'w', 'y', 'm', 'z']",FALSE,1,literal application,alternate rule formation
human,human,np_20,alph_3,sort,1,"['v', 'h', 't', 'r', 'c']","['v', 'h', 't', 'c', 'r']","['f', 'z', 'v', 't', 'h']","['f', 'z', 'v', 'h', 't']","['f', 'c', 'v', 'h', 't']",FALSE,1,literal application + typo,wrong
human,human,np_20,alph_2,sort,3,"['v', 'u', 't', 'r', 'x']","['t', 'u', 'v', 'r', 'x']","['u', 'v', 'r', 'j', 'x']","['u', 'v', 'r', 'x', 'j']","['r', 'u', 'v', 'j', 'x']",FALSE,1,wrong,wrong
human,human,np_20,alph_3,sort,4,"['i', 'd', 's', 'b', 'f']","['i', 'b', 's', 'd', 'f']","['x', 'w', 'j', 'm', 'p']","['p', 'w', 'j', 'm', 'x']","['x', 'm', 'j', 'w', 'p']",FALSE,1,literal application,alternate rule formation
human,human,np_5,alph_2,sort,3,"['k', 'l', 'a', 'h', 'n']","['k', 'l', 'a', 'n', 'h']","['o', 'g', 'f', 'i', 'j']","['f', 'g', 'o', 'i', 'j']","['o', 'g', 'f', 'j', 'i']",FALSE,1,literal application,alternate rule formation
human,human,np_5,alph_5,sort,8,"['u', 'y', 'x', 'w', 'v']","['u', 'y', 'w', 'x', 'v']","['h', 'k', 'j', 'l', 'z']","['h', 'k', 'j', 'z', 'l']",['i'],FALSE,1,misunderstanding,completely wrong
human,human,np_5,alph_5,sort,4,"['k', 'h', 'j', 'z', 'l']","['h', 'k', 'j', 'z', 'l']","['l', 'z', 'j', 'm', 'n']","['j', 'z', 'l', 'm', 'n']","['z', 'l', 'j', 'm', 'n']",FALSE,1,literal application,alternate rule formation
human,human,np_5,alph_5,sort,6,"['c', 'b', 'd', 'e', 'f']","['b', 'c', 'd', 'e', 'f']","['u', 'y', 'x', 'w', 'v']","['u', 'y', 'w', 'x', 'v']","['y', 'u', 'x', 'w', 'v']",FALSE,1,literal application,alternate rule formation
human,human,np_5,alph_3,sort,5,"['e', 'g', 'c', 'd', 'a']","['a', 'g', 'c', 'd', 'e']","['f', 'i', 'h', 'q', 'j']","['f', 'q', 'h', 'i', 'j']","['j', 'i', 'h', 'q', 'f']",FALSE,1,literal application,alternate rule formation
human,human,np_1,alph_6,succ,1,"['o', 'p', 'q', 'r']","['o', 'p', 'q', 's']","['e', 'f', 'g', 'h']","['e', 'f', 'g', 'i']","['e', 'f', 'g', 'h', 'i']",FALSE,1,add/succ,incorrect rule
human,human,np_1,alph_6,succ,8,"['i', 'j', 'k', 'l']","['i', 'j', 'k', 'm']","['j', 'k', 'l', 'm']","['j', 'k', 'l', 'n']","['j', 'l', 'm', 'n']",FALSE,1,wrong,wrong 
human,human,np_1,alph_2,succ,5,"['f', 'g', 'h', 'i']","['f', 'g', 'h', 'j']","['e', 'f', 'g', 'h']","['e', 'f', 'g', 'i']","['e', 'f', 'g', 'j']",FALSE,1,literal application,alternate rule formation
human,human,np_10,alph_3,succ,8,"['i', 'b', 'd', 'k']","['i', 'b', 'd', 'j']","['b', 'd', 'k', 'j']","['b', 'd', 'k', 'n']","['b', 'd', 'j', 'n']",FALSE,1,alternate rule formation,alternate rule formation
human,human,np_10,alph_1,succ,9,"['u', 'd', 'v', 'w']","['u', 'd', 'v', 'm']","['h', 'r', 's', 'u']","['h', 'r', 's', 'd']","['L', 'T', 'N', 'X']",FALSE,1,completely wrong,completely wrong
human,human,np_10,alph_5,succ,5,"['k', 'w', 'm', 'p']","['k', 'w', 'm', 'n']","['p', 'n', 'h', 'q']","['p', 'n', 'h', 'l']","['p', 'n', 'h', 's']",FALSE,1,wrong,wrong 
human,human,np_10,alph_6,succ,4,"['x', 'n', 'h', 'p']","['x', 'n', 'h', 'q']","['h', 'p', 'q', 't']","['h', 'p', 'q', 'y']","['h', 'p', 'q', 't']",FALSE,1,repeat targ_1,incorrect rule
human,human,np_10,alph_4,succ,2,"['b', 'c', 'd', 'e']","['b', 'c', 'd', 'f']","['t', 'k', 'z', 'm']","['t', 'k', 'z', 'l']","['t', 'k', 'm', 'l']",FALSE,1,wrong,wrong
human,human,np_2,alph_5,succ,0,"['k', 'f', 'm', 'n']","['k', 'f', 'm', 'o']","['j', 'k', 'f', 'm']","['j', 'k', 'f', 'n']","['k', 'j', 'f', 'n']",FALSE,1,typo,wrong
human,human,np_2,alph_6,succ,0,"['h', 'i', 'j', 'k']","['h', 'i', 'j', 'l']","['k', 'l', 'e', 'n']","['k', 'l', 'e', 'o']","['k', 'l', 'n', 'n']",FALSE,1,wrong,wrong
human,human,np_2,alph_3,succ,5,"['v', 'w', 'x', 'q']","['v', 'w', 'x', 'z']","['s', 't', 'u', 'v']","['s', 't', 'u', 'w']","['s', 't', 'u', 'v']",FALSE,1,repeat targ_1,incorrect rule
human,human,np_2,alph_2,succ,3,"['o', 'p', 'q', 'r']","['o', 'p', 'q', 'w']","['e', 'f', 'g', 'h']","['e', 'f', 'g', 'i']","['j', 'k', 'l', 'm']",FALSE,1,completely wrong,completely wrong
human,human,np_2,alph_0,succ,7,"['c', 'd', 'e', 'f']","['c', 'd', 'e', 'g']","['b', 'v', 'w', 'x']","['b', 'v', 'w', 'y']","['b', 'v', 'x', 'z']",FALSE,1,wrong,wrong
human,human,np_2,alph_4,succ,2,"['r', 's', 't', 'u']","['r', 's', 't', 'v']","['f', 'd', 'e', 'c']","['f', 'd', 'e', 'g']","['f', 'd', 'e', 'd']",FALSE,1,wrong,wrong
human,human,np_20,alph_6,succ,9,"['j', 'h', 'n', 'a']","['j', 'h', 'n', 'u']","['v', 'w', 'z', 'l']","['v', 'w', 'z', 'o']",['l'],FALSE,1,misunderstanding,completely wrong
human,human,np_20,alph_5,succ,0,"['a', 'r', 'y', 't']","['a', 'r', 'y', 'e']","['n', 'x', 'j', 's']","['n', 'x', 'j', 'z']","['n', 'x', 'y', 'z']",FALSE,1,wrong,wrong
human,human,np_20,alph_0,succ,6,"['b', 'p', 'e', 'r']","['b', 'p', 'e', 's']","['n', 'o', 'y', 'q']","['n', 'o', 'y', 'l']","['n', 'o', 'q']",FALSE,1,wrong,wrong
human,human,np_20,alph_2,succ,7,"['f', 'm', 'p', 'g']","['f', 'm', 'p', 'h']","['b', 'n', 'f', 'm']","['b', 'n', 'f', 'p']","['b', 'n', 'f', 'm']",FALSE,1,repeat targ_1,incorrect rule
human,human,np_20,alph_6,succ,8,"['v', 'w', 'z', 'l']","['v', 'w', 'z', 'o']","['p', 'j', 'h', 'n']","['p', 'j', 'h', 'a']","['p', 'j', 'h', 'o']",FALSE,1,literal application/wrong,wrong
human,human,np_20,alph_1,succ,5,"['p', 'n', 'x', 'q']","['p', 'n', 'x', 'c']","['z', 'y', 'w', 'm']","['z', 'y', 'w', 'h']","['z', 'y', 'm', 'h']",FALSE,1,wrong,wrong
human,human,np_5,alph_2,succ,5,"['i', 'j', 'k', 'l']","['i', 'j', 'k', 'a']","['j', 'k', 'l', 'a']","['j', 'k', 'l', 'n']","['j', 'k', 'a', 'l']",FALSE,1,wrong,wrong
human,human,np_5,alph_1,succ,2,"['n', 'l', 'p', 'q']","['n', 'l', 'p', 'x']","['q', 'x', 's', 't']","['q', 'x', 's', 'u']","['q', 'x', 't', 't']",FALSE,1,wrong,wrong
human,human,np_5,alph_6,succ,7,"['r', 'l', 'm', 'a']","['r', 'l', 'm', 'k']","['p', 'q', 'o', 's']","['p', 'q', 'o', 't']","['p', 'o', 's', 'q']",FALSE,1,wrong,wrong
human,human,np_symb,symb_1,succ,1,"['>', '$', '!', '+']","['>', '$', '!', ')']","['&', '>', '$', '!']","['&', '>', '$', '+']","['&', '>', '$', '!', '&']",FALSE,1,wrong,wrong
human,human,np_symb,symb_1,succ,0,"[')', '<', '@', '=']","[')', '<', '@', '*']","['+', ')', '<', '@']","['+', ')', '<', '=']","['+', ')', '<', '@', '=']",FALSE,1,add/succ,incorrect rule
human,human,np_symb,symb_1,succ,7,"[')', '<', '@', '=']","[')', '<', '@', '*']","['$', '!', '+', ')']","['$', '!', '+', '<']","['$', '!', ')', '<']",FALSE,1,wrong,wrong
human,human,np_symb,symb_0,succ,8,"['*', '@', '=', '&']","['*', '@', '=', '<']","[')', '*', '@', '=']","[')', '*', '@', '&']","[')', '@', '=', '&']",FALSE,1,wrong,wrong
human,human,np_symb,symb_0,succ,1,"['@', '=', '&', '<']","['@', '=', '&', '+']","['$', ')', '*', '@']","['$', ')', '*', '=']","['$', ')', '*', '@']",FALSE,1,repeat targ_1,incorrect rule